record_no,syszone,use_type,inst_date,material,joint,joint_type,cathodic,diameter,length_ft
1070,554521,dist,6/1/1937,CI,,,,1,90.37779808
1071,541801,dist,8/1/1974,CI,Caulked,rigid,,7,337.1319228
1072,542700,dist,12/1/1956,CI,Caulked,rigid,,5,1073.696082
1073,553000,dist,7/1/1929,AC,,,,9,60.13300641
1074,577900,dist,1/1/1931,CI,,,Y,21,188.7675869
1075,554406,dist,10/1/1913,CI,Caulked,rigid,,2,222.4504048
1076,551501,dist,8/1/1957,CI,Caulked,rigid,Y,7,165.7575087
1077,573402,dist,5/1/1991,DI,,,,24,173.3862383
1078,573402,dist,5/1/1977,AC,B&S,rigid,,1,31.63800152
1079,575101,dist,6/1/1982,CI,,,,3,201.6212997
1080,573403,dist,7/1/1956,AC,B&S,rigid,,3,150.2970932
1081,576901,dist,3/1/1934,CI,Rubber Gasket,flexible,Y,7,1208.013844
1082,570203,dist,6/1/1936,CI,Caulked,rigid,,12,101.2412097
1083,573403,dist,7/1/1934,CI,Caulked,rigid,,6,306.1180791
1084,575101,dist,5/1/1929,STL,Gas welded,brittle,,1,157.8713161
1085,110007,dist,6/1/1975,CI,Caulked,rigid,,1,371.4990595
1086,536202,dist,5/1/1964,AC,B&S,rigid,,1,773.3449228
1087,571504,dist,6/1/1997,CI,Caulked,rigid,,7,888.8350039
1088,575001,dist,1/1/1968,CI,Caulked,rigid,,12,147.7773515
1089,544002,dist,9/1/1956,CI,Caulked,rigid,,22,50.36956518
1090,544002,dist,6/1/1979,STL,Arc-welded,robust,,19,489.0404563
1091,542501,dist,2/1/1945,DI,,,,1,176.3912022
1092,551700,dist,6/1/1976,CI,Caulked,rigid,,11,607.1663711
1093,553400,dist,4/1/1948,DI,,,,4,401.98238
1095,554521,dist,1/1/1991,CI,Caulked,rigid,,6,156.5381319
1096,543322,dist,3/1/1973,AC,B&S,rigid,,9,129.3838905
1097,555202,dist,12/1/1927,STL,Arc-welded,robust,Y,11,81.12717637
1098,554514,dist,3/1/1961,CI,Rubber Gasket,flexible,,5,148.0306656
1100,554521,dist,12/1/1946,CI,Caulked,rigid,Y,4,98.06784723
1101,554801,dist,12/1/1952,CI,Caulked,rigid,Y,17,90.20757634
1102,554514,dist,12/1/1942,DI,,,,12,249.2023525
1103,110117,dist,11/1/1959,CI,Rubber Gasket,flexible,Y,23,147.8081954
1104,551900,dist,9/1/1952,STL,,,Y,12,1624.09181
1105,550301,dist,7/1/1904,CI,Caulked,rigid,Y,11,556.4673833
1106,553000,dist,1/1/1957,CI,Caulked,rigid,,11,412.8302317
1107,573402,dist,11/1/1994,CI,Caulked,rigid,,15,409.8070249
1108,575102,dist,5/1/1952,CI,Caulked,rigid,Y,2,96.12419438
1110,573403,dist,3/1/1971,CI,Caulked,rigid,,7,157.9411404
1111,576901,dist,2/1/1943,STL,,,,16,604.0299209
1113,536103,dist,6/1/1937,STL,Gas welded,brittle,Y,22,858.9612492
1114,110007,dist,10/1/1974,DI,,,,5,591.7849891
1115,110006,dist,2/1/1963,CI,,,,2,861.8973675
1116,540101,dist,8/1/1943,CI,,,,19,183.2647614
1117,551201,dist,7/1/1982,DI,EQ joint,robust,,11,281.0492715
1120,553601,dist,12/1/1984,CI,Caulked,rigid,,19,487.9905852
1121,536103,dist,12/1/1981,CI,Caulked,rigid,,23,856.6296353
1122,571800,dist,6/1/2008,HDPE,Fused,robust,,7,158.7860667
1123,110116,dist,1893-1-1,CI,Caulked,rigid,,3,229.0042621
1124,554513,dist,11/1/1950,STL,Gas welded,brittle,,1,36.06938555
1126,555212,dist,2/1/1910,CI,Caulked,rigid,,10,591.5156943
1127,554204,dist,3/1/1952,CI,Caulked,rigid,Y,10,162.4244568
1128,570001,dist,5/1/1911,CI,Caulked,rigid,Y,8,144.5240391
1129,570001,dist,3/1/1921,CI,Caulked,rigid,Y,11,220.8335275
1130,554517,dist,9/1/1981,STL,Arc-welded,robust,,12,124.2583454
1131,570001,dist,11/1/1952,STL,,,Y,8,210.5034171
1132,541801,dist,4/1/1951,DI,EQ joint,robust,,1,555.9668056
1133,554521,dist,4/1/1947,CI,Caulked,rigid,,10,90.60137859
1134,543321,dist,5/1/1962,CI,Caulked,rigid,Y,2,151.8860047
1135,554516,dist,2/1/1922,DI,Rubber Gasket,flexible,,11,93.9845169
1136,110117,dist,9/1/1940,DI,,,,5,663.3260969
1137,574902,dist,6/1/1977,CI,,,,1,46.05536308
1138,571703,dist,9/1/1921,CI,Caulked,rigid,,9,416.9421562
1139,571704,dist,2/1/1937,DI,EQ joint,robust,,4,194.1271464
1140,554522,dist,3/1/1980,CI,Caulked,rigid,,10,408.5194461
1141,554522,dist,3/1/1940,CI,Rubber Gasket,flexible,,8,129.9848625
1142,571900,dist,7/1/1949,CI,Caulked,rigid,Y,11,160.926362
1143,575001,dist,3/1/1954,CI,Caulked,rigid,Y,8,695.3580905
1144,543321,dist,5/1/1945,STL,Gas welded,brittle,,5,567.7376752
1145,110117,dist,3/1/1989,CI,,,,11,133.5663741
1146,536102,dist,8/1/1957,CI,Caulked,rigid,Y,7,563.8876791
1147,554515,dist,4/1/1957,CI,Caulked,rigid,,21,380.6233211
1148,574602,dist,8/1/1986,CI,Caulked,rigid,,12,399.4921173
1149,110111,dist,1/1/1923,CI,Caulked,rigid,Y,7,444.3286822
1150,574500,dist,3/1/1947,CI,Caulked,rigid,Y,11,640.7401774
1151,574500,dist,10/1/1947,CI,Caulked,rigid,,2,104.8583696
1152,554406,dist,11/1/1961,CI,Caulked,rigid,Y,14,402.228903
1153,575002,dist,9/1/1930,CI,Caulked,rigid,Y,15,353.4575907
1154,574202,dist,5/1/1976,CI,,,,19,378.4743685
1155,570402,dist,9/1/1921,STL,,,,23,143.9754027
1156,570203,dist,2/1/1926,CI,Caulked,rigid,,5,162.8257396
1157,570203,dist,4/1/1955,CI,Rubber Gasket,flexible,,10,121.0354625
1158,541802,dist,7/1/1974,STL,Arc-welded,robust,,19,175.6968108
1159,554201,dist,3/1/1926,CI,,,Y,12,135.141217
1160,110015,dist,2/1/1976,CI,Caulked,rigid,,1,1910.326597
1161,570502,dist,5/1/1942,CI,Caulked,rigid,,12,809.6046775
1162,552700,dist,12/1/1977,CI,Caulked,rigid,,3,1091.744068
1163,555105,dist,10/1/1969,STL,,,Y,6,494.6124772
1164,555106,dist,11/1/1964,CI,Caulked,rigid,Y,7,252.8439708
1165,554515,dist,10/1/1944,CI,,,Y,8,57.53851733
1166,552200,dist,9/1/1933,CI,Caulked,rigid,Y,5,328.5351912
1168,552601,dist,4/1/1956,CI,,,,12,698.9134094
1169,555211,dist,5/1/1972,STL,Arc-welded,robust,,4,421.9698385
1170,555211,dist,7/1/1956,STL,Arc-welded,robust,,7,405.3117023
1171,554514,dist,7/1/1952,CI,Caulked,rigid,Y,7,143.3573287
1173,553300,dist,11/1/1920,STL,,,Y,15,179.0963819
1174,544002,dist,4/1/1965,AC,B&S,rigid,,10,172.4189073
1176,543306,dist,9/1/1925,AC,B&S,rigid,,3,343.7109544
1177,543306,dist,12/1/1976,CI,,,,2,47.15454258
1178,544002,dist,2/1/1964,CI,,,Y,8,269.9571698
1179,543306,dist,5/1/1969,CI,Caulked,rigid,,9,159.5090498
1180,551802,dist,12/1/1928,STL,Arc-welded,robust,,6,354.6319124
1181,571101,dist,6/1/1960,DI,Rubber Gasket,flexible,,2,431.0345431
1182,571101,dist,6/1/1954,AC,B&S,rigid,,10,219.3879322
1183,570001,dist,6/1/1936,DI,EQ joint,robust,,17,859.4562049
1184,553202,dist,3/1/1985,STL,Arc-welded,robust,,6,321.973641
1185,551101,dist,7/1/1959,CI,Caulked,rigid,,14,399.1102334
1186,554106,dist,1/1/2008,CI,Caulked,rigid,,9,42.69818965
1187,551501,dist,7/1/1939,CI,Caulked,rigid,,2,374.7431053
1188,551501,dist,10/1/1994,DI,,,,9,51.49758705
1189,575402,dist,1/1/1958,CI,Caulked,rigid,,7,123.9116683
1190,575401,dist,7/1/1945,CI,Rubber Gasket,flexible,Y,2,470.7024086
1191,554515,dist,8/1/1964,CI,Caulked,rigid,Y,10,37.74709412
1192,554515,dist,7/1/1972,STL,Arc-welded,robust,,16,35.44047167
1193,553701,dist,2/1/1968,CI,Caulked,rigid,Y,12,94.82869392
1194,543306,dist,9/1/1986,CI,Caulked,rigid,,13,180.4961527
1195,543306,dist,10/1/1961,CI,Caulked,rigid,,4,112.9835057
1196,543306,dist,2/1/1982,CI,Caulked,rigid,,7,153.4584489
1197,571704,dist,8/1/1933,AC,B&S,rigid,,7,379.1894734
1198,543322,dist,4/1/1952,CI,,,Y,6,139.0350828
1199,110111,dist,12/1/1913,CI,Caulked,rigid,,3,222.5970038
1200,577605,dist,3/1/1928,CI,Caulked,rigid,,5,896.115939
1201,110111,dist,8/1/1959,CI,,,,12,36.62834538
1202,110111,dist,10/1/1937,CI,Caulked,rigid,,6,129.5028361
1203,574500,dist,10/1/1938,AC,B&S,rigid,,3,360.5418361
1204,543100,dist,3/1/1929,CI,Caulked,rigid,,9,372.5548822
1205,571701,dist,1/1/1959,CI,Caulked,rigid,,8,472.4860756
1206,571000,dist,3/1/1953,CI,Caulked,rigid,,21,223.9917725
1207,571102,dist,1/1/1988,DI,EQ joint,robust,,20,288.5905792
1208,571000,dist,11/1/1964,CI,Caulked,rigid,,21,318.351584
1209,571300,dist,5/1/1935,CI,Caulked,rigid,,5,1310.785374
1210,571703,dist,4/1/1942,DI,,,,10,695.4202241
1211,554516,dist,6/1/1977,CI,Caulked,rigid,,6,38.46455713
1212,540102,dist,6/1/1987,CI,,,,12,1144.457986
1213,110111,dist,4/1/1963,CI,Caulked,rigid,Y,9,105.5405345
1214,110007,dist,6/1/1966,CI,Caulked,rigid,,10,336.6244508
1215,541603,dist,11/1/1998,CI,Caulked,rigid,,16,8.844140336
1216,551502,dist,5/1/1962,CI,Caulked,rigid,Y,7,411.9200023
1217,551700,dist,2/1/1980,DI,EQ joint,robust,,16,558.6233813
1218,551700,dist,6/1/1947,AC,B&S,rigid,,10,330.3095477
1219,551700,dist,10/1/1946,CI,Caulked,rigid,Y,1,232.81087
1220,110007,dist,7/1/1973,AC,B&S,rigid,,5,576.0237616
1222,110007,dist,11/1/1972,DI,,,,16,239.6409819
1223,575001,dist,7/1/1940,CI,Caulked,rigid,,3,861.336592
1224,577000,dist,6/1/1959,CONC,Rubber Gasket,robust,,17,2425.010436
1225,541300,dist,3/1/1941,STL,Arc-welded,robust,,11,1181.695947
1226,542700,dist,12/1/1931,CI,Caulked,rigid,,1,457.4492116
1227,543322,dist,5/1/1939,CI,Caulked,rigid,,1,96.37899531
1230,553901,dist,12/1/1962,CI,Rubber Gasket,flexible,,1,84.35726031
1231,110006,dist,12/1/1946,CI,Caulked,rigid,Y,5,585.8869129
1232,553400,dist,8/1/1940,AC,B&S,rigid,,6,401.2557843
1233,553901,dist,11/1/1984,STL,Arc-welded,robust,,14,351.3860915
1234,541500,dist,4/1/1979,CI,Caulked,rigid,,5,300.8138593
1235,554519,dist,8/1/1959,CI,,,,16,58.57994471
1236,542601,dist,10/1/1987,CI,,,,10,201.3309658
1237,573902,dist,2/1/1961,STL,Gas welded,brittle,Y,18,31.9961991
1238,573902,dist,5/1/2008,CI,,,,7,919.4137437
1239,572600,dist,3/1/1915,CI,Caulked,rigid,,9,749.1822001
1241,110117,dist,11/1/1976,CI,Caulked,rigid,,10,135.4139734
1242,110117,dist,6/1/1961,CI,Rubber Gasket,flexible,,7,138.0156961
1243,551900,dist,10/1/1935,AC,B&S,rigid,,16,501.6232703
1244,555202,dist,5/1/1970,STL,Arc-welded,robust,Y,9,611.3255871
1245,573902,dist,5/1/1969,CI,,,,8,554.2109243
1246,570701,dist,10/1/1931,CI,,,Y,7,45.44370013
1247,554002,dist,9/1/1942,CI,Rubber Gasket,flexible,Y,15,209.9668709
1248,570800,dist,7/1/1960,CI,Caulked,rigid,Y,14,66.14519455
1249,570003,dist,5/1/1988,CI,,,,10,822.4161923
1250,570800,dist,10/1/1988,DI,Rubber Gasket,flexible,,24,304.189936
1251,536202,dist,10/1/1997,AC,B&S,rigid,,6,91.9635838
1252,553504,dist,6/1/1942,STL,Arc-welded,robust,Y,16,252.9629109
1253,541605,dist,12/1/1906,CI,Caulked,rigid,,7,129.2676833
1254,570901,dist,7/1/1919,CI,Caulked,rigid,Y,18,134.5752674
1255,570901,dist,3/1/1953,CI,,,Y,12,136.4514752
1256,110007,dist,5/1/1977,CI,Caulked,rigid,,20,86.92231952
1257,570502,dist,8/1/1944,CI,Rubber Gasket,flexible,,7,58.27246803
1258,543100,dist,7/1/1988,DI,EQ joint,robust,,11,363.9698452
1259,542900,dist,1/1/1959,AC,,,,11,407.1019574
1260,553502,dist,1/1/1945,CI,Caulked,rigid,Y,12,613.9041966
1261,570204,dist,1/1/1928,AC,,,,5,400.7089613
1264,570305,dist,2/1/1942,AC,,,,20,113.8907693
1265,570402,dist,9/1/1998,CI,Caulked,rigid,,10,153.9579936
1266,570304,dist,11/1/1938,CI,,,Y,12,265.3651498
1267,573201,trunk,2/1/1981,CONC,,,,46,1096.111067
1268,554521,dist,12/1/1957,CI,Caulked,rigid,,7,120.3064136
1269,573800,dist,3/1/1942,DI,,,,2,18.89257961
1270,576301,trunk,11/1/1924,STL,Gas welded,brittle,Y,41,2613.931857
1271,574000,dist,8/1/1953,CI,Caulked,rigid,Y,10,683.580804
1272,575103,dist,8/1/2004,CI,Caulked,rigid,,1,402.0838984
1273,574000,dist,1/1/1981,STL,Arc-welded,robust,,17,326.999051
1274,574100,dist,5/1/1931,CI,Caulked,rigid,Y,10,494.775052
1275,574100,dist,2/1/1932,STL,Gas welded,brittle,,8,351.5378681
1276,574000,dist,4/1/1940,CI,,,,5,218.2862681
1277,574000,dist,8/1/1951,CI,Caulked,rigid,,22,298.3103362
1278,574000,dist,9/1/1977,CI,Caulked,rigid,,5,216.2721814
1279,573800,dist,5/1/1937,STL,Arc-welded,robust,Y,4,230.9931533
1280,573700,dist,9/1/1922,STL,Arc-welded,robust,Y,24,219.2458705
1282,570403,dist,1/1/1955,STL,Gas welded,brittle,,8,109.1755761
1283,536104,dist,2/1/1955,CI,Caulked,rigid,Y,22,312.7257841
1284,554514,dist,11/1/1939,CI,Caulked,rigid,,12,48.94049348
1285,551501,dist,12/1/1967,CI,Caulked,rigid,Y,4,645.5988295
1286,576403,dist,2/1/1924,DI,,,,5,2818.704648
1287,570402,dist,8/1/1942,STL,Arc-welded,robust,Y,20,506.1606074
1288,570402,dist,7/1/1962,AC,B&S,rigid,,7,447.0338948
1289,570404,dist,5/1/2001,CI,Caulked,rigid,,3,521.3306081
1290,553601,dist,5/1/1945,AC,,,,11,392.801016
1291,552100,dist,1/1/1970,CI,Caulked,rigid,,3,55.49845861
1292,552100,dist,10/1/1969,STL,,,Y,5,246.2952966
1293,552100,dist,4/1/1916,CI,Caulked,rigid,Y,14,69.3748488
1294,553202,dist,4/1/2009,CI,Caulked,rigid,,8,400.4804404
1295,553201,dist,2/1/1967,STL,,,Y,4,295.117472
1296,110117,dist,11/1/1927,CI,Caulked,rigid,,12,213.1640713
1297,550202,dist,2/1/1936,CI,Caulked,rigid,Y,7,132.6119525
1298,550202,dist,2/1/1942,CI,Caulked,rigid,,9,621.6960969
1299,554001,dist,2/1/1960,CI,Caulked,rigid,,9,86.00406204
1300,543321,dist,10/1/1954,CI,Caulked,rigid,,5,453.4535295
1302,570202,dist,1/1/1901,STL,Arc-welded,robust,Y,24,494.54962
1303,554521,dist,10/1/1953,DI,,,,11,137.3477333
1304,570305,dist,9/1/1946,AC,B&S,rigid,,9,193.2656101
1305,543304,dist,10/1/1940,STL,Arc-welded,robust,Y,21,130.9107984
1306,543304,dist,9/1/1980,CI,Caulked,rigid,,24,258.9073376
1307,543304,dist,4/1/1945,CI,Caulked,rigid,,12,157.2833667
1308,574500,dist,10/1/1991,CI,Caulked,rigid,,4,808.9776196
1309,573800,dist,12/1/1949,STL,Gas welded,brittle,,6,363.975638
1310,574000,dist,6/1/1928,STL,Arc-welded,robust,Y,8,310.6122144
1311,574100,dist,1/1/1962,DI,,,,1,350.7455069
1312,577900,dist,10/1/1936,AC,B&S,rigid,,8,129.1806733
1313,577900,dist,10/1/1959,DI,,,,6,251.2460434
1314,551102,dist,8/1/1983,AC,B&S,rigid,,21,999.5082414
1315,554513,dist,8/1/1930,CI,Caulked,rigid,Y,17,134.0793945
1316,542402,dist,5/1/1990,STL,Gas welded,brittle,,5,123.9157067
1317,554522,dist,3/1/1920,CI,Caulked,rigid,,12,183.2860578
1318,110108,dist,5/1/1925,DI,Rubber Gasket,flexible,,4,362.625413
1319,540501,dist,9/1/1967,AC,B&S,rigid,,12,610.546334
1320,571505,dist,1/1/1952,CI,Caulked,rigid,Y,21,254.0399691
1321,571504,dist,11/1/1905,STL,Gas welded,brittle,Y,2,1522.258457
1322,110117,dist,9/1/1972,STL,Arc-welded,robust,,19,278.9346139
1323,541300,dist,7/1/1942,STL,,,,21,28.33067651
1324,574100,dist,10/1/1975,CI,,,,19,405.7268145
1325,574100,dist,10/1/1954,CI,Caulked,rigid,Y,11,269.5001218
1326,574000,dist,7/1/1929,CI,,,Y,9,97.86743375
1327,570402,dist,5/1/1942,AC,B&S,rigid,,3,439.3107808
1328,551802,dist,4/1/1972,AC,B&S,rigid,,4,328.5281238
1329,551802,dist,4/1/1941,STL,Arc-welded,robust,,3,116.9504336
1330,551102,dist,2/1/1967,CI,Caulked,rigid,Y,14,416.0842304
1331,571101,dist,9/1/1963,CI,Caulked,rigid,Y,6,1132.082831
1332,551102,dist,7/1/1974,DI,,,,7,156.6215058
1333,570001,dist,2/1/1954,CI,Rubber Gasket,flexible,Y,23,787.1153505
1334,570902,dist,10/1/1956,CI,Caulked,rigid,Y,7,1327.959433
1335,554204,dist,9/1/1902,DI,,,,4,122.4978153
1336,110108,dist,4/1/1953,STL,,,Y,3,320.4533898
1337,551900,dist,9/1/1991,CI,,,,23,325.215044
1338,551802,dist,9/1/1946,CI,Caulked,rigid,Y,2,129.2606261
1339,551801,dist,2/1/1954,CI,Rubber Gasket,flexible,,12,268.5741817
1340,551700,dist,9/1/1968,CI,Caulked,rigid,,3,300.7620287
1341,551502,dist,7/1/1910,CI,Caulked,rigid,,22,86.8774858
1342,551502,dist,3/1/2011,CI,Caulked,rigid,,8,323.2605933
1343,552001,dist,11/1/1979,CI,Caulked,rigid,,1,41.70394024
1346,551700,dist,6/1/1976,CI,Caulked,rigid,,2,220.2672644
1347,551801,dist,5/1/1965,AC,B&S,rigid,,12,403.9928033
1348,552001,dist,7/1/1946,AC,,,,9,158.4547475
1349,551700,dist,6/1/1943,CI,Caulked,rigid,,3,159.652911
1350,552001,dist,5/1/1958,CI,Caulked,rigid,,5,145.9985697
1351,540501,dist,1892-1-1,STL,,,,21,398.8971286
1352,570404,dist,4/1/1920,CI,Caulked,rigid,,20,1052.793967
1353,570402,dist,8/1/1958,CI,Caulked,rigid,Y,1,98.27373022
1354,110108,dist,11/1/1977,CI,Caulked,rigid,,12,159.8278547
1355,110117,dist,4/1/1939,STL,,,Y,9,198.5397247
1356,570703,dist,4/1/1955,CI,Caulked,rigid,,15,139.5515558
1357,570902,dist,4/1/1991,CI,Caulked,rigid,,7,255.0743793
1358,570703,dist,5/1/1944,CI,Caulked,rigid,Y,9,322.6603334
1359,570901,dist,9/1/2002,CI,Caulked,rigid,,22,510.2751687
1360,570901,dist,3/1/1947,CI,,,,5,191.3229191
1361,110007,dist,1/1/1976,DI,EQ joint,robust,,4,569.8863385
1362,543000,dist,10/1/1961,CI,Caulked,rigid,,8,380.8563968
1363,543000,dist,2/1/1957,AC,,,,3,1015.57387
1364,570003,dist,9/1/1934,CI,Caulked,rigid,,11,241.2428019
1365,570003,dist,8/1/1949,CI,Rubber Gasket,flexible,,8,427.5895358
1366,571202,dist,12/1/1977,AC,B&S,rigid,,7,1171.550531
1367,570800,dist,9/1/1963,CI,Caulked,rigid,Y,2,597.4796956
1368,542700,dist,1/1/1932,CI,Rubber Gasket,flexible,Y,11,199.0512584
1369,542602,dist,3/1/1935,CI,,,,5,802.7543463
1370,554522,dist,2/1/1933,DI,EQ joint,robust,,23,56.2120618
1371,551801,dist,11/1/1978,CI,,,,2,246.9684071
1372,553300,dist,6/1/1959,CI,,,,5,179.6411925
1373,553300,dist,7/1/1949,STL,Arc-welded,robust,,18,250.216346
1374,551300,dist,11/1/1974,CI,Caulked,rigid,,7,320.1655063
1375,551300,dist,12/1/1917,DI,,,,6,660.4372787
1376,551402,dist,11/1/1968,DI,EQ joint,robust,,1,53.49208366
1377,551402,dist,12/1/1936,CI,,,,10,222.8675082
1378,554521,dist,7/1/1948,CI,Caulked,rigid,Y,6,124.8129399
1379,570901,dist,1/1/1957,CI,Caulked,rigid,,5,104.1394969
1380,553901,dist,7/1/1955,STL,Gas welded,brittle,,13,70.06159261
1381,555107,dist,9/1/1939,STL,Arc-welded,robust,,5,73.77099959
1382,555212,dist,9/1/1985,CI,Caulked,rigid,,7,98.27554464
1383,574400,dist,10/1/1951,STL,Arc-welded,robust,Y,2,306.1708693
1384,574300,dist,8/1/1990,CI,Caulked,rigid,,1,288.2564319
1385,574400,dist,12/1/1958,CI,Caulked,rigid,,9,244.0615074
1386,574800,dist,2/1/1952,CI,Caulked,rigid,,4,322.563807
1387,571701,dist,8/1/1946,DI,,,,17,704.7479879
1388,571701,dist,8/1/1946,CI,Rubber Gasket,flexible,Y,11,111.5374107
1389,553300,dist,10/1/1944,CI,Caulked,rigid,,8,255.0535262
1390,542501,dist,11/1/1968,CI,,,,9,53.43343226
1391,570902,dist,9/1/1920,CI,Rubber Gasket,flexible,,12,115.48453
1392,543100,dist,2/1/1962,DI,Rubber Gasket,flexible,,15,152.0567147
1393,542402,dist,5/1/1975,DI,EQ joint,robust,,10,638.908207
1394,554521,dist,1/1/2000,CI,Caulked,rigid,,1,87.79942901
1395,553601,dist,7/1/1990,DI,EQ joint,robust,,12,1333.609545
1396,553504,dist,3/1/1946,CI,Caulked,rigid,Y,6,1232.615886
1397,553400,dist,4/1/1943,CI,,,,16,281.5232167
1398,110007,dist,4/1/1956,CI,,,,7,33.12930101
1399,552800,dist,9/1/1978,CI,Caulked,rigid,,11,580.119903
1400,570901,dist,4/1/1966,CI,Caulked,rigid,,8,107.345126
1401,570901,dist,6/1/1952,CI,,,Y,23,135.1729294
1403,570901,dist,1/1/1957,CI,,,,19,29.274805
1404,570902,dist,9/1/1984,DI,,,,21,119.2532008
1405,570800,dist,4/1/1973,CI,,,,9,163.180092
1406,554522,dist,5/1/1947,CI,Caulked,rigid,,3,59.25235697
1407,554522,dist,6/1/2018,CI,Rubber Gasket,flexible,,8,87.9155166
1408,570901,dist,12/1/1933,STL,Gas welded,brittle,Y,2,151.5457223
1409,570901,dist,5/1/1978,CI,,,,7,124.5573272
1410,554522,dist,4/1/1927,AC,,,,8,59.47259196
1411,570901,dist,4/1/1945,DI,,,,11,199.003985
1412,110111,dist,2/1/1932,CI,Caulked,rigid,,9,555.5403545
1413,554515,dist,6/1/1955,CI,Caulked,rigid,Y,9,196.872296
1415,574000,dist,11/1/1943,CI,Caulked,rigid,Y,3,627.3072742
1416,571502,dist,1/1/1940,CI,Caulked,rigid,,6,329.6185024
1417,573004,dist,5/1/1955,CI,,,Y,9,402.0770285
1418,110006,dist,11/1/1929,STL,,,Y,1,335.7790917
1419,573002,dist,12/1/1981,DI,EQ joint,robust,,24,201.3894791
1421,554514,dist,10/1/1957,STL,Gas welded,brittle,,9,156.6455754
1422,571000,dist,6/1/1945,CI,Caulked,rigid,,4,577.3843845
1423,542000,dist,3/1/1999,DI,Rubber Gasket,flexible,,12,1021.55023
1424,542000,dist,1/1/1952,AC,B&S,rigid,,3,834.0850075
1425,554519,dist,7/1/1955,CI,Caulked,rigid,,10,293.1114406
1426,573002,dist,8/1/1973,CI,Caulked,rigid,,4,269.85717
1428,577900,dist,7/1/2007,STL,Gas welded,brittle,,13,87.92600271
1429,570002,dist,4/1/1948,CI,Caulked,rigid,,12,645.7401505
1430,570502,dist,5/1/1996,CI,Caulked,rigid,,22,802.6125443
1432,542900,dist,2/1/1970,CI,Caulked,rigid,,6,1087.24034
1433,554522,dist,1897-5-1,CI,Caulked,rigid,Y,6,165.500487
1434,536202,dist,8/1/1924,CI,Caulked,rigid,,12,330.0964971
1435,536202,dist,5/1/1973,DI,,,,6,490.8253634
1436,553702,dist,11/1/1970,DI,EQ joint,robust,,13,240.5903384
1437,110117,dist,9/1/1940,CI,Caulked,rigid,Y,1,106.900976
1438,553701,dist,7/1/1923,CI,Caulked,rigid,,1,916.0790202
1439,551204,dist,5/1/1931,CI,Caulked,rigid,,20,85.7526587
1440,551204,dist,4/1/1923,CI,,,,10,479.3711309
1441,551502,dist,9/1/1974,CI,Caulked,rigid,,1,351.8805231
1442,551900,dist,5/1/1971,CI,Caulked,rigid,Y,18,235.7920149
1443,551900,dist,9/1/1947,CI,Caulked,rigid,Y,11,221.0303457
1444,553000,dist,2/1/1955,STL,Arc-welded,robust,Y,12,532.4061487
1445,551900,dist,10/1/1934,CI,Caulked,rigid,,21,76.89586266
1446,551900,dist,8/1/1986,CI,Caulked,rigid,,8,41.24721047
1447,553000,dist,9/1/1951,STL,Arc-welded,robust,,15,895.4956093
1449,553901,dist,8/1/2003,CI,Caulked,rigid,,12,166.340569
1450,555202,dist,6/1/1943,CI,,,Y,3,173.3571499
1451,574800,dist,7/1/1954,CI,,,Y,5,768.2978168
1452,535902,dist,1889-1-1,AC,B&S,rigid,,9,867.546863
1453,570202,dist,12/1/1929,CI,Rubber Gasket,flexible,,3,551.4691494
1454,570202,dist,5/1/1958,STL,,,,11,79.97925838
1455,110007,dist,9/1/1938,CI,Caulked,rigid,,8,336.6257635
1456,551300,dist,8/1/1965,CI,Caulked,rigid,Y,5,172.2424619
1457,577602,dist,2/1/1960,CI,Caulked,rigid,Y,8,80.06280011
1458,573102,dist,5/1/1999,CI,Caulked,rigid,,9,1080.470905
1459,572700,dist,10/1/1987,STL,Gas welded,brittle,,20,1156.448236
1460,574500,dist,2/1/1948,CI,Rubber Gasket,flexible,,11,41.01508314
1461,542601,dist,12/1/1985,CI,Caulked,rigid,,4,160.6130177
1462,570403,dist,8/1/1946,AC,B&S,rigid,,4,21.06919216
1463,574800,dist,2/1/1956,STL,Arc-welded,robust,Y,10,191.509564
1464,574800,dist,6/1/1915,CI,Rubber Gasket,flexible,,11,110.0761787
1465,536104,dist,9/1/1950,CI,Caulked,rigid,Y,11,347.3801858
1466,543306,dist,6/1/1966,CI,Caulked,rigid,Y,15,202.3084039
1467,551900,dist,9/1/1973,STL,Arc-welded,robust,,20,41.81575683
1468,110117,dist,7/1/1944,STL,Arc-welded,robust,,6,179.9791203
1469,980012,dist,5/1/1964,CI,Caulked,rigid,,9,416.3113873
1470,541500,dist,1/1/2003,CI,Rubber Gasket,flexible,,21,258.088787
1471,571800,dist,8/1/1996,CI,Caulked,rigid,,1,1452.318961
1472,554513,dist,2/1/1977,CI,Caulked,rigid,,5,105.4401806
1473,110111,dist,4/1/1967,STL,Gas welded,brittle,,11,404.0396326
1474,571502,dist,7/1/1961,CI,Caulked,rigid,Y,1,424.6159243
1475,571502,dist,8/1/1932,CI,Caulked,rigid,Y,9,150.7008941
1476,536201,dist,4/1/1963,CI,Caulked,rigid,,5,922.7417452
1477,554405,dist,7/1/1931,CI,Caulked,rigid,,17,138.0926034
1478,554406,dist,5/1/1972,DI,EQ joint,robust,,3,210.719955
1479,554516,dist,12/1/1947,CI,Caulked,rigid,,3,52.77024259
1480,570404,dist,10/1/1968,CI,Caulked,rigid,,5,246.3634678
